"student ID","sex"
3101,1
3102,1
3103,1
3104,2
3105,1
3106,1
3107,1
3108,2
3109,2
3110,1
3111,2
3112,1
3113,2
3114,1
3115,1
3116,2
3117,2
3118,1
3119,2
3120,1
3121,2
3122,2
3123,2
3124,2
3125,2
3126,1
3127,2
3128,1
3129,1
