,3201,3202,3203,3204,3205,3206,3207,3208,3209,3210,3211,3212,3213,3214,3215,3216,3217,3218,3219,3220,3221,3222,3223,3224,3225,3226,3227,3228,3229,3230,3231,3232,3233,3234
3201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3202,0,NA,0,0,1,-1,1,0,1,1,0,NA,1,-1,2,1,1,1,1,1,-1,1,0,2,0,1,-1,2,0,0,1,1,1,0
3203,2,0,NA,2,0,0,0,2,0,0,2,-1,0,-2,0,-2,0,1,0,0,1,0,-1,0,2,0,0,0,0,2,1,1,-1,-1
3204,1,1,2,NA,0,1,1,1,0,0,2,-1,0,-1,-1,-1,1,1,0,1,0,0,-1,-1,1,0,0,-1,1,1,0,0,0,1
3205,-1,1,0,0,NA,NA,2,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,2,1,0,2,1,2,1
3206,0,1,0,0,1,NA,1,0,2,2,0,2,0,2,2,1,2,2,1,1,1,1,2,1,0,2,1,0,-1,1,2,1,2,0
3207,0,1,0,0,2,1,NA,0,0,2,0,2,0,2,0,1,1,2,2,2,1,1,1,2,0,2,1,2,1,0,2,0,2,0
3208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3209,-1,1,NA,NA,0,1,1,0,NA,1,1,1,0,2,2,1,2,2,1,0,1,2,2,2,0,2,1,1,2,1,1,1,2,1
3210,-2,-1,0,0,0,1,2,-2,1,NA,0,1,-1,1,1,2,-1,2,1,1,0,0,0,-1,-2,2,0,2,2,0,1,0,1,0
3211,1,1,2,2,0,1,0,2,1,0,NA,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,1
3212,-1,1,0,0,0,2,2,-1,2,2,1,NA,0,2,2,2,2,2,2,0,1,1,2,2,0,2,2,2,2,-1,2,1,2,0
3213,0,1,0,0,1,1,1,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1
3214,-1,1,0,0,1,1,2,0,2,2,0,2,0,NA,2,1,2,2,2,0,1,2,2,-1,0,1,1,1,2,0,2,1,1,0
3215,-1,1,1,1,0,1,1,-1,2,1,1,1,0,2,NA,1,2,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,NA
3216,-2,0,0,0,0,-1,1,0,1,2,0,1,0,0,1,NA,1,2,1,0,1,0,1,1,0,2,1,1,2,1,1,1,0,0
3217,-1,1,1,0,0,1,1,-1,2,1,0,1,0,1,2,1,NA,-1,1,0,1,1,1,1,-1,1,1,1,1,0,1,0,1,0
3218,-2,2,1,-1,0,2,2,0,2,2,1,2,0,2,2,2,2,NA,2,0,1,1,2,2,2,2,1,2,2,0,2,1,1,1
3219,-1,1,0,0,0,0,2,0,1,0,0,1,0,2,1,0,1,0,NA,0,1,2,2,2,0,-1,1,1,1,1,1,1,2,1
3220,0,1,0,0,0,1,2,1,1,1,2,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0,0,2,1,0,1,0,2,1
3221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3222,-2,1,0,0,1,1,1,0,2,0,0,1,0,2,2,-1,2,-1,2,0,1,NA,2,2,0,2,0,2,1,1,1,1,1,0
3223,-1,1,0,0,1,2,1,0,2,2,0,2,0,2,2,2,2,2,2,1,2,2,NA,NA,0,2,2,1,2,0,2,1,1,1
3224,0,1,0,0,1,1,1,0,2,1,0,1,0,1,2,0,2,2,2,0,1,2,1,NA,0,1,1,1,1,0,1,0,1,1
3225,1,1,2,2,1,1,2,1,2,NA,1,1,0,0,0,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
3226,-2,0,-1,-1,0,1,2,-2,1,2,0,1,0,2,1,2,1,2,1,-2,0,2,1,1,-1,NA,1,2,2,NA,2,2,0,2
3227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA,0,0,0,0,1,0,0
3228,-1,2,0,0,2,0,2,-1,2,2,1,1,1,1,1,1,1,2,2,1,0,2,1,2,-1,1,1,NA,1,0,2,1,2,1
3229,-1,0,0,0,0,0,0,0,1,2,1,1,0,1,1,2,1,1,1,0,0,1,1,1,0,2,1,1,NA,0,1,1,1,1
3230,2,0,2,2,0,0,0,2,1,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,1,0,0,NA,0,1,0,0
3231,0,1,0,0,0,2,2,0,1,1,0,2,0,1,1,1,1,1,1,0,0,1,2,2,0,2,0,1,1,0,NA,0,2,0
3232,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,2,1,1,1,0,2,NA,1,0,1,1,NA,0,2
3233,0,0,0,-1,0,1,2,-1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,-1,1,0,2,1,0,1,0,NA,2
3234,-1,-1,0,0,-2,0,-2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,NA
