,5401,5402,5403,5404,5405,5406,5407,5408,5409,5410,5411,5412,5413,5414,5415,5416,5417,5419,5421,5422,5423,5424,5425,5426,5427,5428,5429,5430,5431,5432,5433,5434,5435
5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5402,0,NA,NA,2,2,NA,1,2,1,1,2,0,2,2,2,0,0,1,2,2,2,0,2,1,2,0,0,0,0,2,2,1,NA
5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5404,1,2,1,NA,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1
5405,0,1,1,1,NA,0,0,0,0,0,0,0,2,0,2,2,1,0,0,1,0,0,1,0,1,0,0,2,2,-1,0,0,0
5406,1,0,-1,1,0,NA,0,0,-2,2,0,0,1,1,0,0,0,0,2,0,2,1,1,0,0,2,1,0,0,0,2,-2,2
5407,2,0,2,-1,0,1,NA,-1,2,1,0,-1,0,0,1,2,0,0,2,1,0,0,1,2,1,0,2,-1,0,-1,1,2,0
5408,1,1,1,2,0,0,0,NA,0,0,1,2,1,0,1,0,0,2,1,1,0,0,1,0,1,0,0,1,0,2,0,0,0
5409,1,0,0,0,0,1,2,0,NA,-1,-1,0,0,-1,0,0,0,-1,-1,0,1,1,-1,1,1,-1,1,0,0,-2,-1,2,0
5410,2,1,-1,1,1,2,2,1,-1,NA,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,NA,2
5411,0,2,2,2,2,1,1,2,0,2,NA,2,2,1,2,2,2,2,2,2,0,0,2,2,2,0,-1,2,2,0,1,NA,0
5412,1,0,0,1,0,0,0,2,0,1,0,NA,0,-1,0,-1,-2,2,0,0,-1,0,-1,0,1,0,0,1,0,0,1,0,0
5413,0,1,0,0,2,0,0,0,0,0,0,0,NA,0,2,0,-1,1,0,1,1,0,1,0,1,0,0,2,2,0,1,0,0
5414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5415,0,1,1,1,2,0,0,-1,0,-1,0,-1,2,0,NA,1,-2,0,0,NA,1,-1,1,0,1,-1,0,2,2,1,1,1,-1
5416,0,2,1,1,1,0,1,-1,1,0,0,-1,1,0,1,NA,0,0,0,1,1,0,1,1,1,0,1,1,2,1,1,1,1
5417,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,NA,1,0,0,0,0,2,0,0,0,0,1,1,-1,0,0,0
5419,1,1,0,2,1,0,0,2,0,0,2,2,2,0,1,0,2,NA,1,1,0,0,1,1,1,0,0,1,2,2,0,0,0
5421,2,1,0,1,0,1,0,0,0,-1,2,0,1,0,1,0,1,2,NA,1,-1,0,0,0,-1,0,0,1,0,1,1,0,0
5422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5424,1,-1,-1,-1,-1,1,1,-1,0,2,-1,-1,-1,-2,-1,-2,-1,0,1,-1,-2,NA,-1,0,-1,1,0,-1,-1,-1,0,0,0
5425,0,0,2,0,2,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0
5426,0,1,0,0,0,1,1,-2,-1,1,1,0,1,2,1,1,0,1,1,1,1,0,1,NA,1,1,1,1,1,1,1,1,1
5427,-1,2,0,-1,NA,-1,-1,-1,-1,2,1,-1,0,1,1,0,-2,0,-1,0,2,0,1,2,NA,-1,2,-1,1,-2,1,2,0
5428,1,0,0,0,0,2,1,0,-2,1,0,0,0,-2,0,0,0,0,1,0,1,1,0,1,1,NA,1,0,0,0,-2,-2,2
5429,1,1,1,NA,0,0,2,0,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,-1,NA,0,0,0,2,2,1
5430,0,2,1,2,NA,1,1,1,1,0,0,1,2,2,2,2,2,2,1,2,2,0,2,1,1,0,1,NA,2,0,2,1,1
5431,0,-1,1,0,2,0,0,-1,0,0,-2,-1,2,0,2,2,1,0,0,-1,1,-1,2,0,0,0,0,1,NA,-1,1,0,0
5432,0,1,0,0,0,1,1,-1,1,1,0,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,1,1,0,NA,2,1,1
5433,1,2,0,0,0,1,1,0,-2,1,1,0,0,2,1,0,0,0,1,1,2,0,0,1,2,0,1,0,0,-1,NA,1,1
5434,0,1,2,-1,-1,1,2,0,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,1,2,2,-1,2,0,0,0,1,NA,0
5435,2,1,0,0,0,2,1,0,0,2,1,0,0,2,0,0,0,1,2,1,2,1,0,0,1,2,1,1,0,1,1,0,NA
