"student ID","drinking w1","drinking w2"
1401,2,2
1402,2,NA
1403,NA,1
1404,3,3
1405,3,NA
1406,3,4
1407,1,NA
1408,3,3
1409,3,3
1410,1,3
1411,NA,1
1413,3,3
1414,NA,3
1416,2,2
1417,2,2
1418,1,NA
1419,NA,NA
1420,3,3
1421,1,2
1422,3,3
1423,3,3
1424,2,2
1425,3,3
1426,NA,3
1427,3,2
1428,NA,3
1429,2,2
1430,1,3
1431,2,3
1432,2,3
1433,NA,NA
1434,2,2
1435,NA,NA
