,7101,7102,7103,7104,7105,7106,7107,7108,7109,7110,7111,7112,7113,7114,7115,7116,7117,7118,7119,7120,7121,7122,7124,7125,7126,7127,7128,7129,7130,7131
7101,NA,0,2,2,1,-1,2,0,0,0,0,0,1,2,0,0,0,1,0,-1,1,0,0,0,0,1,0,1,-1,-1
7102,1,NA,2,-1,2,0,2,1,0,1,-1,0,2,2,1,0,1,2,1,-1,1,2,0,1,0,2,0,2,-2,0
7103,2,0,NA,2,2,0,1,0,0,1,0,0,2,2,0,0,0,1,-2,-2,1,-2,-1,1,-2,0,-1,1,-2,-2
7104,2,0,2,NA,2,-1,2,0,0,0,0,0,2,2,1,0,0,1,1,0,1,0,0,0,0,2,0,2,0,-2
7105,2,1,2,2,NA,0,2,0,1,0,0,1,2,2,0,0,0,1,1,0,0,1,0,0,0,2,0,2,0,0
7106,0,0,1,0,1,NA,0,2,2,1,1,1,1,1,1,1,1,0,1,2,1,0,2,1,1,1,1,2,0,1
7107,2,1,0,2,1,0,NA,0,0,0,1,1,2,2,1,-1,1,1,1,0,2,1,0,0,0,1,0,2,-1,0
7108,1,1,0,1,-1,1,0,NA,2,2,1,2,0,0,2,2,1,2,0,2,1,-1,2,0,2,1,2,1,2,2
7109,1,0,0,1,0,0,0,1,NA,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0
7110,1,0,0,1,-1,0,0,2,1,NA,0,1,0,1,2,2,1,1,1,1,0,-1,1,-1,1,-1,2,0,0,1
7111,0,-1,0,0,0,1,0,1,1,1,NA,2,1,1,1,0,2,2,2,1,2,0,0,-1,0,0,1,2,0,0
7112,0,0,0,0,0,0,0,0,2,0,1,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
7113,2,1,1,2,1,0,1,0,1,1,0,1,NA,2,0,0,0,1,1,0,1,0,0,1,0,2,0,1,0,0
7114,2,1,2,0,0,0,0,0,0,-1,1,0,2,NA,0,0,0,1,0,-1,0,0,0,1,0,2,-2,1,-2,0
7115,1,1,1,1,0,0,0,1,1,2,0,1,1,2,NA,2,-1,1,0,1,0,0,1,0,1,0,1,2,0,0
7116,0,1,0,0,0,-1,-1,0,2,2,0,0,1,1,1,NA,1,1,0,2,0,-1,1,1,1,1,2,0,0,0
7117,0,0,0,1,0,0,1,1,1,1,1,2,0,0,1,0,NA,1,2,0,2,1,0,0,1,0,1,1,1,0
7118,1,1,1,1,1,-2,1,1,1,1,0,0,1,1,0,0,1,NA,1,0,1,1,0,0,0,2,0,1,0,-2
7119,1,1,1,1,0,-2,0,0,0,0,2,2,2,2,0,-2,2,2,NA,0,0,0,-2,2,-2,2,-2,2,1,-2
7120,-1,-1,-1,-1,-1,0,0,1,1,1,0,1,-1,0,1,2,1,0,-1,NA,-1,-1,2,1,2,0,2,0,0,2
7121,2,0,1,2,1,0,1,0,0,1,1,2,1,2,0,0,2,2,2,0,NA,0,0,0,0,0,0,1,-1,-1
7122,1,1,0,0,1,-1,0,0,0,-1,0,0,1,0,0,0,1,1,0,0,1,NA,0,0,0,1,0,1,0,0
7124,0,0,1,0,1,2,0,2,1,1,0,0,0,0,1,1,0,0,0,2,0,0,NA,0,1,0,2,1,0,1
7125,1,1,1,1,1,0,1,-1,1,-1,0,1,1,1,0,0,0,2,2,1,1,0,0,NA,0,2,0,2,-1,0
7126,1,1,0,0,0,2,0,2,0,2,2,2,0,1,2,2,1,0,-2,2,-2,-2,2,-1,NA,-1,2,0,1,2
7127,2,2,2,2,1,-2,1,-1,1,-2,1,-1,1,1,-2,-2,1,2,2,-2,1,1,-2,2,-2,NA,-2,2,-2,-2
7128,0,0,0,0,-2,2,-2,2,1,2,0,1,1,1,2,2,1,1,0,2,1,-1,2,0,0,0,NA,0,1,2
7129,1,1,1,1,1,0,1,-1,-1,-1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,-1,0,2,NA,0,0
7130,0,0,0,1,1,0,-1,2,2,2,2,2,0,0,1,1,2,0,0,1,1,0,0,0,1,0,0,1,NA,0
7131,-1,-1,-1,1,-1,0,2,2,2,2,0,1,1,1,2,2,0,-1,1,2,1,0,1,1,1,1,1,1,1,NA
