"student ID","drinking w1","drinking w2"
4201,1,1
4202,3,3
4203,2,3
4204,1,1
4205,1,3
4206,1,1
4207,3,3
4208,2,3
4209,2,2
4210,2,3
4211,2,3
4212,2,3
4213,3,3
4214,1,2
4215,3,3
4216,3,4
4217,2,2
4218,3,3
4219,2,3
4220,2,3
4221,2,2
4222,2,3
4223,3,3
4224,2,3
4225,2,3
4226,2,2
4227,2,2
4228,1,2
4229,3,3
4230,2,2
4231,2,2
4232,1,3
4233,3,3
4234,2,3
4235,2,2
