"student ID","drinking w1","drinking w2"
7601,3,3
7602,NA,2
7603,NA,NA
7604,3,4
7605,2,2
7606,3,NA
7607,3,3
7608,NA,NA
7609,2,NA
7610,3,NA
7612,3,3
7613,3,3
7614,3,3
7616,3,3
7617,1,1
7618,3,NA
7619,1,2
7620,NA,3
7622,2,3
7623,3,3
7625,3,3
7626,3,3
7627,4,3
7628,NA,3
7629,3,NA
7631,NA,3
7632,3,3
7633,2,3
