"student ID","drinking w1","drinking w2"
2801,3,3
2802,1,1
2803,3,3
2804,3,3
2805,3,3
2806,2,2
2807,1,1
2808,3,3
2809,1,NA
2811,3,4
2812,4,4
2813,2,3
2814,1,2
2815,3,4
2817,2,3
2818,2,3
2819,NA,3
2820,2,3
2821,2,3
2823,2,3
2824,2,2
2825,3,NA
2826,2,2
2827,2,3
2828,2,2
2829,1,3
2830,3,3
2831,2,3
2891,4,4
