,7301,7302,7303,7304,7305,7307,7308,7309,7310,7311,7312,7314,7315,7316,7317,7318,7319,7320,7321,7323,7324,7325,7327,7328,7329,7330
7301,NA,1,0,-1,-1,0,-1,-1,1,2,1,-2,2,0,0,-1,-1,0,-1,1,-1,2,0,0,0,0
7302,1,NA,2,0,0,1,0,0,2,1,2,-2,1,0,1,-1,-1,2,0,0,0,1,1,1,2,0
7303,0,1,NA,1,-1,1,1,0,1,1,1,1,1,1,2,0,0,1,-1,1,-1,1,1,2,2,-1
7304,0,0,0,NA,0,2,2,1,0,0,0,0,0,2,0,0,0,2,0,1,-1,0,2,2,0,1
7305,0,0,0,0,NA,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1
7307,0,2,0,0,0,NA,2,2,2,0,0,2,0,2,0,2,2,0,0,2,0,0,2,2,2,0
7308,0,0,2,2,0,2,NA,0,0,0,0,0,0,2,2,0,2,1,0,1,0,0,2,2,2,0
7309,1,0,0,1,2,1,0,NA,1,1,2,2,1,0,1,2,0,1,1,2,2,1,1,1,0,2
7310,2,2,1,0,0,1,0,-1,NA,1,1,-2,2,-2,-1,-2,0,1,0,-2,-2,2,1,-1,1,-2
7311,0,0,0,-1,0,0,0,0,0,NA,0,-2,2,-1,0,-2,0,0,-1,0,-2,0,-2,-1,0,-2
7312,1,1,2,1,1,1,1,2,2,1,NA,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1
7314,1,0,0,0,0,0,0,2,-1,1,1,NA,1,0,1,2,0,0,2,2,0,1,2,2,0,2
7315,2,1,1,-1,-1,1,-1,-1,0,2,0,0,NA,0,1,-1,0,0,0,0,-1,2,1,1,1,-1
7316,-1,0,1,2,2,2,2,0,0,-1,0,0,-1,NA,2,1,2,2,0,1,1,-1,1,2,1,2
7317,0,1,2,1,0,1,1,1,0,0,0,0,1,1,NA,1,0,1,0,0,-1,0,1,2,2,0
7318,-1,-1,0,0,0,1,0,2,-2,-1,0,2,0,1,0,NA,0,0,1,2,-1,-1,0,1,0,2
7319,0,0,2,2,0,2,2,0,-1,0,0,0,0,2,2,0,NA,1,0,1,-2,0,2,2,2,1
7320,0,1,2,1,0,1,0,0,1,0,2,0,0,0,1,0,0,NA,0,0,0,1,1,1,1,0
7321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7323,0,0,1,1,2,1,1,2,1,0,1,2,1,1,1,2,0,1,1,NA,1,1,1,1,1,2
7324,0,0,0,0,2,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,NA,0,0,0,0,0
7325,2,0,0,0,-1,1,-1,-1,1,2,-1,-2,2,-1,1,0,0,1,0,0,0,NA,0,1,1,-1
7327,1,2,2,2,0,2,0,0,1,0,1,1,1,1,2,1,2,1,0,1,0,0,NA,1,2,1
7328,0,1,1,1,0,1,1,1,1,0,2,1,0,1,2,1,1,1,1,1,0,0,1,NA,1,1
7329,0,0,0,1,-1,1,1,0,1,0,1,0,0,1,2,0,0,1,0,1,-1,0,1,2,NA,0
7330,-1,-1,0,0,1,1,1,1,-2,-1,-1,-1,0,1,2,0,0,1,1,2,1,0,-1,1,0,NA
