"student ID","drinking w1","drinking w2"
6301,NA,3
6302,1,NA
6303,1,1
6304,2,2
6305,NA,1
6306,NA,NA
6307,3,2
6308,NA,3
6309,1,2
6310,NA,3
6311,2,3
6312,3,NA
6313,2,NA
6314,NA,1
6315,2,1
6316,1,1
6317,2,3
6318,2,3
6319,NA,3
6320,1,3
6321,1,NA
6322,NA,1
6323,2,2
6324,2,2
6325,2,NA
6326,3,3
6327,2,3
6328,3,3
6329,NA,1
6330,1,3
6331,2,2
6332,2,2
6333,1,3
