"student ID","drinking w1","drinking w2"
3101,2,3
3102,3,3
3103,3,3
3104,1,2
3105,3,3
3106,1,2
3107,2,2
3108,2,3
3109,1,1
3110,1,1
3111,1,1
3112,2,2
3113,1,1
3114,2,2
3115,2,2
3116,1,NA
3117,3,3
3118,1,1
3119,2,2
3120,2,NA
3121,1,1
3122,1,1
3123,NA,2
3124,2,2
3125,2,2
3126,2,1
3127,3,2
3128,3,3
3129,3,3
