,2201,2202,2203,2204,2206,2207,2208,2209,2210,2211,2212,2213,2215,2216,2217,2218,2219,2220,2221,2222,2223,2224,2225,2226,2227,2229
2201,NA,1,1,0,1,1,0,-2,0,0,0,0,1,1,1,2,2,2,1,0,0,0,0,-1,0,0
2202,2,NA,2,0,1,0,0,0,0,0,0,1,1,1,0,2,1,2,2,0,1,1,0,0,1,0
2203,1,2,NA,1,1,1,1,0,1,1,1,2,2,0,2,2,1,2,2,1,2,1,1,0,1,1
2204,1,-1,-1,NA,1,2,1,1,1,1,2,-1,-1,1,-1,1,1,1,-1,1,-1,1,-1,1,-1,1
2206,0,-1,0,0,NA,1,1,1,0,0,0,0,0,0,0,-1,2,2,0,1,0,0,0,0,0,1
2207,0,0,0,2,2,NA,2,2,2,0,2,0,0,2,0,0,0,0,0,2,-2,1,0,2,0,2
2208,0,2,0,1,2,2,NA,1,0,0,-1,-1,1,0,1,0,-2,0,0,2,1,-1,1,1,1,0
2209,-1,0,-1,0,1,1,2,NA,1,-1,2,1,-1,1,0,0,-2,0,-1,1,0,0,-1,1,0,-1
2210,0,-1,-1,1,1,2,1,1,NA,0,1,1,2,0,-1,-1,1,1,-1,1,1,1,0,2,1,2
2211,1,-2,1,1,-2,1,1,0,0,NA,1,2,1,2,2,1,-2,1,2,0,1,-2,1,0,1,0
2212,1,-1,1,2,1,2,1,1,1,1,NA,1,-1,2,1,1,1,1,1,2,0,-1,-1,2,2,1
2213,1,0,1,1,0,1,1,0,1,2,1,NA,2,1,2,2,0,0,2,1,1,0,1,0,1,1
2215,1,0,0,0,0,0,0,0,0,2,0,2,NA,0,1,2,0,0,2,0,1,0,1,0,1,0
2216,0,0,-1,1,1,1,1,2,2,-2,2,0,0,NA,0,0,0,-2,1,0,0,1,1,2,0,2
2217,2,1,2,0,1,0,1,0,0,1,0,2,2,0,NA,2,1,1,2,0,1,1,1,0,1,0
2218,2,1,1,0,0,0,2,0,0,-1,-1,1,2,1,2,NA,2,2,2,0,-1,0,1,0,-1,0
2219,2,0,0,1,1,1,0,-2,1,0,0,0,0,0,0,1,NA,1,0,0,1,1,0,0,1,0
2220,1,0,0,0,2,0,1,1,1,0,0,0,0,1,0,1,2,NA,0,0,0,0,0,0,0,2
2221,1,0,2,0,0,0,0,0,0,1,0,2,2,0,2,2,0,0,NA,0,1,0,0,0,1,0
2222,0,1,0,1,2,2,2,2,1,-1,0,-2,-2,2,0,0,-2,0,0,NA,-2,-2,0,0,1,2
2223,0,-1,2,0,-1,-1,0,-2,-1,0,-1,0,-2,1,1,-2,-2,-2,1,0,NA,-2,-1,-1,2,0
2224,1,1,0,1,1,1,1,0,1,-2,1,1,1,1,1,1,2,1,0,2,2,NA,1,1,2,2
2225,1,0,0,1,-2,-1,-2,-2,1,2,1,2,2,1,1,1,-1,0,0,-1,-1,-1,NA,-1,-1,0
2226,0,0,-1,1,1,2,1,1,2,0,1,1,-1,2,-2,-1,0,0,-2,1,-1,1,-1,NA,1,1
2227,0,-1,-1,0,-1,0,1,-2,-2,-1,-2,0,-1,1,0,-1,-1,0,1,1,2,0,0,0,NA,1
2229,0,0,-1,1,2,2,2,2,0,-2,1,0,-1,2,-1,1,-1,0,-2,2,0,1,1,2,1,NA
