,7802,7804,7805,7806,7807,7808,7809,7811,7812,7813,7814,7816,7817,7818,7819,7821,7822,7823,7824,7825,7826,7827,7828,7829,7830,7832,7833,7834,7835
7802,NA,0,0,0,0,1,1,-2,2,1,0,0,0,1,1,2,0,2,0,0,0,-2,0,-2,1,-2,2,2,2
7804,1,NA,0,0,1,1,0,-2,0,0,1,0,0,0,1,0,1,1,0,0,0,-1,2,1,1,0,2,0,1
7805,-1,-1,NA,2,1,-1,1,2,1,1,2,2,2,2,0,0,0,1,2,2,0,0,0,0,1,-1,1,0,2
7806,0,-1,0,NA,1,1,0,-2,1,2,0,0,-1,-1,-1,0,1,0,-1,0,1,-2,-2,1,0,0,-2,0,0
7807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7808,0,-1,0,2,0,NA,2,0,1,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7809,0,-1,0,1,0,2,NA,-1,1,2,-1,0,0,0,0,1,2,1,1,-1,1,-1,-1,-1,1,1,-1,0,1
7811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7812,0,-1,0,0,2,2,2,-2,NA,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7813,1,-1,0,2,1,1,1,-1,1,NA,0,0,0,0,-1,1,1,0,-2,0,0,-2,-2,0,0,1,-2,0,1
7814,0,0,2,1,1,1,0,-1,0,0,NA,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7817,0,0,2,1,1,0,0,1,0,0,2,2,NA,2,1,0,0,1,1,1,0,0,0,0,0,0,1,2,1
7818,0,0,1,1,1,0,1,-1,1,1,1,0,2,NA,2,0,1,1,2,0,2,0,0,0,2,2,0,1,2
7819,1,-1,0,0,2,0,0,0,1,0,1,0,0,0,NA,0,1,2,1,0,0,-1,-1,0,2,1,-2,0,1
7821,2,-2,0,0,0,0,2,-2,2,0,0,0,0,1,0,NA,1,2,2,0,2,-2,-1,-2,2,-1,-1,1,2
7822,0,-1,0,1,2,2,2,-1,1,1,0,-1,1,1,1,2,NA,1,0,0,0,-1,-1,1,1,0,1,0,0
7823,2,0,0,2,2,0,-1,0,2,2,0,0,1,2,2,2,1,NA,2,0,1,-1,-2,1,2,2,-1,1,2
7824,1,1,1,1,2,1,1,0,1,1,1,1,1,2,2,1,1,2,NA,1,1,1,1,2,2,2,1,1,2
7825,-1,-1,2,0,0,1,0,2,0,0,1,2,2,0,1,-2,1,0,0,NA,0,0,0,0,0,0,0,2,0
7826,-2,-1,0,2,1,1,1,-2,1,1,0,-2,0,1,1,1,1,0,1,0,NA,2,-1,0,2,2,-2,-1,2
7827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7829,0,0,-1,1,1,-2,-1,1,1,1,-1,-1,0,1,1,-1,1,0,1,0,1,-1,1,NA,1,1,0,0,-1
7830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
7832,0,-1,0,2,2,0,2,-1,1,1,0,-1,0,2,1,1,1,2,2,0,2,-2,-2,1,2,NA,-1,0,2
7833,1,0,1,-1,1,-1,1,0,0,-1,1,1,1,1,-1,1,2,0,0,0,0,0,1,1,-1,0,NA,1,0
7834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7835,0,0,1,2,1,1,1,0,1,2,1,0,1,1,1,2,1,2,2,-1,2,-1,-1,2,2,2,0,1,NA
